cellId	SMTS	SMTSD
GTEX-WHWD-0826-SM-3LK6R	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1GPI7-0226-SM-9MQKB	Adipose Tissue	Adipose - Subcutaneous
GTEX-13PDP-0226-SM-5K7W9	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y114-1326-SM-4TT9A	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14PJO-1626-SM-69LPQ	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17F98-0326-SM-7DHLH	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-17F9Y-0726-SM-7LT9G	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-15DZA-0626-SM-6PANC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-14C39-2526-SM-5S2UH	Adipose Tissue	Adipose - Subcutaneous
GTEX-QDVJ-1826-SM-2S1P3	Adipose Tissue	Adipose - Subcutaneous
GTEX-1ICG6-1726-SM-ARU7K	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1I1GR-1726-SM-COH39	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-18D9A-2026-SM-718BL	Adipose Tissue	Adipose - Subcutaneous
GTEX-1F6RS-0226-SM-9MQKO	Adipose Tissue	Adipose - Subcutaneous
GTEX-1H3VE-1926-SM-9YFL4	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-ZAK1-0226-SM-5CVMX	Adipose Tissue	Adipose - Subcutaneous
GTEX-R55D-0326-SM-48FES	Adipose Tissue	Adipose - Subcutaneous
GTEX-1KXAM-2326-SM-CYPTD	Adipose Tissue	Adipose - Subcutaneous
GTEX-14PHX-1626-SM-69LQB	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1HSMQ-1426-SM-ADEHT	Adipose Tissue	Adipose - Subcutaneous
GTEX-1S5ZA-1026-SM-EWRO2	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-139YR-2426-SM-5J1OB	Adipose Tissue	Adipose - Subcutaneous
GTEX-14E6E-1926-SM-664N4	Adipose Tissue	Adipose - Subcutaneous
GTEX-XQ3S-1626-SM-4WAYN	Adipose Tissue	Adipose - Subcutaneous
GTEX-1EX96-1426-SM-7PBZ5	Adipose Tissue	Adipose - Subcutaneous
GTEX-YEC3-0926-SM-5Q5AC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-WH7G-2226-SM-3NMBN	Adipose Tissue	Adipose - Subcutaneous
GTEX-11DXY-0326-SM-5H12F	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1GTWX-0226-SM-9YFLL	Adipose Tissue	Adipose - Subcutaneous
GTEX-1A8G6-2026-SM-73KYC	Adipose Tissue	Adipose - Visceral (Omentum)
GTEX-1EH9U-0226-SM-7PBY8	Adipose Tissue	Adipose - Subcutaneous
GTEX-16YQH-0226-SM-6PALD	Adipose Tissue	Adipose - Subcutaneous
